,Text,sentiment_scores,neg_score,neu_score,pos_score,compound_score,target
2302,"awesome little snack treat favorite pup/dog . two pekeingese love . use training well treat . come variety flavors . pups like liver best . senior dogs , perfect n't `` jaw '' power teeth use anymore . easy carry treat dog whenever want example walk around neighborhood . 3 calories n't worry weight . absolutely recommend every dog owner !","{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.9895}",0.0,0.471,0.529,0.9895,1
2327,"like sweetarts want bulk amount , product . sweetarts came perfectly sealed excellent condition . downsides .","{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.8934}",0.0,0.435,0.565,0.8934,1
2331,"used sons bday party one sweet treats . great , kids loved price fabulous , way better purchasing elsewhere . item came described fresh . thank amazon.com","{'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.9744}",0.0,0.361,0.639,0.9744,1
2332,good sweets < br / > amazon always excellent < br / > amazon always excellent < br / > amazon always excellent < br / > amazon always excellent,"{'neg': 0.0, 'neu': 0.224, 'pos': 0.776, 'compound': 0.9769}",0.0,0.224,0.776,0.9769,1
2333,"excellent shipment product well , looking forward purchase , thanks < br / > excellent shipment product well , looking forward purchase , thanks < br / > excellent shipment product well , looking forward purchase , thanks","{'neg': 0.0, 'neu': 0.394, 'pos': 0.606, 'compound': 0.9753}",0.0,0.394,0.606,0.9753,1
2338,delicious candy. < br / > outstanding price rich product. < br / > `` fortunes '' inside added bonus. < br / > great options relating packaging .,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.9633}",0.0,0.426,0.574,0.9633,1
2382,"great coffee . rich , robust . coffee-lovers choice . like french roast italian roast , like coffee .","{'neg': 0.0, 'neu': 0.346, 'pos': 0.654, 'compound': 0.9337}",0.0,0.346,0.654,0.9337,1
2385,"husband loves strong caribou coffee like milder one `` breakfast < br / > type . drink caribou kinds great coffee , matter < br / > strong . disappoint .","{'neg': 0.078, 'neu': 0.403, 'pos': 0.519, 'compound': 0.936}",0.078,0.403,0.519,0.936,1
2389,"caribou 's mahogany favorite k-cup coffee . 's got great , rich taste . 's dark , bitter .","{'neg': 0.119, 'neu': 0.426, 'pos': 0.455, 'compound': 0.836}",0.119,0.426,0.455,0.836,1
2393,coffee good flavor good strength . first seemed strong got use . recommend flavor coffee . good wake morning .,"{'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.9493}",0.0,0.361,0.639,0.9493,1
2398,"smooth rich flavor even largest setting , dark blend satisfying cup coffee . recommend friends . product arrived time well packaged .","{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.9231}",0.0,0.476,0.524,0.9231,1
2402,nice bold taste little `` packaged '' overtone . like k-cup products shade fresh .,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.8481}",0.0,0.469,0.531,0.8481,1
2407,ordered mahogany caribou coffee k-cups adore . recommend product like bold coffe smooth taste .,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.8807}",0.0,0.446,0.554,0.8807,1
2411,"best caribou kcup like dark , hearty roast good flavor little acidity . definitely buy .","{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.9005}",0.0,0.428,0.572,0.9005,1
2414,"could get used ! nice , strong , robust coffee without bitterness . k-cups convenient make mess .","{'neg': 0.116, 'neu': 0.371, 'pos': 0.513, 'compound': 0.8201}",0.116,0.371,0.513,0.8201,1
2415,really enjoy coffee - used variety k-cups one best .,"{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.8268}",0.0,0.438,0.562,0.8268,1
2418,"mild ... like strong flavor . wife likes coffee . enough flavor boldness keep enjoyable feeling like water downed coffee . like strong , bold coffee , disappointed . mild coffee , found good , good enough warrant higher cost many brands. < br / > < br / > re-ordering caribou mahogany . wife prefers donut shop brand . , strong enough , still makes good cup coffee .","{'neg': 0.04, 'neu': 0.465, 'pos': 0.495, 'compound': 0.9853}",0.04,0.465,0.495,0.9853,1
2421,"bitterness . strong , full-bodied , cup taste like ashes . smooth , drinkable . like bold , dark coffee , please .","{'neg': 0.113, 'neu': 0.335, 'pos': 0.552, 'compound': 0.8591}",0.113,0.335,0.552,0.8591,1
2426,love coffee . best k cup 've found . like strong coffee struggled first find one enjoyed . prices amazon ca n't beat shipping super fast .,"{'neg': 0.143, 'neu': 0.361, 'pos': 0.496, 'compound': 0.9281}",0.143,0.361,0.496,0.9281,1
2431,love order coffee amazon . easy shows quickly. < br / > k cup great coffee . dcaf good well,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.9509}",0.0,0.309,0.691,0.9509,1
2436,"'ve tried dozen varieties k-cups , far , favorite ! 's strong bitter great flavor . choice .","{'neg': 0.124, 'neu': 0.4, 'pos': 0.475, 'compound': 0.8356}",0.124,0.4,0.475,0.8356,1
2438,go bold varieties coffee mahogany bold smooth . time favorite !,"{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.8172}",0.0,0.414,0.586,0.8172,1
2472,"good good standard coconut water brand . container smaller , straw , like taste plain one better . ok .","{'neg': 0.0, 'neu': 0.427, 'pos': 0.573, 'compound': 0.9081}",0.0,0.427,0.573,0.9081,1
2499,really delicious something find local grocery store . would expensive much smaller quantity . good deal super easy use .,"{'neg': 0.0, 'neu': 0.487, 'pos': 0.513, 'compound': 0.9286}",0.0,0.487,0.513,0.9286,1
2507,mrs. may 's pumpkin crunch best bunch . like pumpkin seeds . slightly sweet cubes make think eating cake . great snacking even dessert . truly wonderful product gluten-free bargain !,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.969}",0.0,0.461,0.539,0.969,1
2520,works wonderfully applications garden . could easier since systemic helps fertilize want fertilize .,"{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.8625}",0.0,0.43,0.57,0.8625,1
2523,best mustard . husband loves sandwiches work . right spices taste enhance eating . looking bigger tubes much luck size great .,"{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.9432}",0.0,0.483,0.517,0.9432,1
2573,"wonderfully crunchy delicious . calorie count misleading , however ! one piece 25 calories claim . 's worth ! .","{'neg': 0.119, 'neu': 0.439, 'pos': 0.443, 'compound': 0.8118}",0.119,0.439,0.443,0.8118,1
2576,nuts used tasted fresh . bite sized chunks right . lightly sweetened sweet . satisfying = ),"{'neg': 0.124, 'neu': 0.43, 'pos': 0.446, 'compound': 0.7184}",0.124,0.43,0.446,0.7184,1
2581,"delicious , healthy , plus amazon cheaper buy mrs. mays actual website .","{'neg': 0.0, 'neu': 0.464, 'pos': 0.536, 'compound': 0.7964}",0.0,0.464,0.536,0.7964,1
2585,"husband diabetes watch eats .... great healthy treat ! could n't find local stores , happy see available amazon !","{'neg': 0.0, 'neu': 0.437, 'pos': 0.563, 'compound': 0.938}",0.0,0.437,0.563,0.938,1
2588,"family love almond crunch , 're sweet enough , crunchy , perfect snack .","{'neg': 0.0, 'neu': 0.391, 'pos': 0.609, 'compound': 0.8979}",0.0,0.391,0.609,0.8979,1
2589,tryed almond crunch delicious healthy snack better chips try 'll agree,"{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.8957}",0.0,0.372,0.628,0.8957,1
2592,far delicious snack could ever ! ! almonds super fresh crunchy light coating syrup sweet . whole family loves ! !,"{'neg': 0.0, 'neu': 0.382, 'pos': 0.618, 'compound': 0.9569}",0.0,0.382,0.618,0.9569,1
2596,great product . tried beach first time loved . cashew crunch good. < br / > bought case almond week . great !,"{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.9459}",0.0,0.44,0.56,0.9459,1
2599,"perfect gift southwestern flair . jelly 's decent size , spreader nice quality piece small glass chili pepper attached. < br / > < br / > cute little bag - great gift price !","{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.9608}",0.0,0.495,0.505,0.9608,1
2603,"best taste pasta . cooks well , slightly less time typical mass produced pasta . nice color mouthfeel . excellent .","{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.9153}",0.0,0.484,0.516,0.9153,1
2627,like mild sweet flavor instant tea . 've added lots different drinks like juices energy drinks . fun mixing things . blends well .,"{'neg': 0.0, 'neu': 0.475, 'pos': 0.525, 'compound': 0.926}",0.0,0.475,0.525,0.926,1
2637,"good flavor , real sweet . add little stevia sweet tooth .","{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.836}",0.0,0.403,0.597,0.836,1
2639,"wanted desperately love , even like drink mix , success . love mint tea tastes green tea . 's strong green weak mint flavor enjoy . every 'll try tolerate bottle hoping change taste . 's gross clearly appealing people .","{'neg': 0.148, 'neu': 0.395, 'pos': 0.457, 'compound': 0.9584}",0.148,0.395,0.457,0.9584,1
2640,"ice tea , like heaven ice . must try love lemon giger . great price content . make pitcher 4 bags add lemon whatever sweetner prefer . great barbeque parties tea ladies","{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.9678}",0.0,0.489,0.511,0.9678,1
2661,love product ! adds flavor water without nasty artificial sweetners . hope product stay !,"{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.8912}",0.0,0.459,0.541,0.8912,1
2666,"liked flavor ease mix tea . use packets make pitcher keep fridge . good cold needs sweetening lightly sweet already . n't look pretty , look like healthy drink ! liked !","{'neg': 0.065, 'neu': 0.445, 'pos': 0.49, 'compound': 0.9447}",0.065,0.445,0.49,0.9447,1
2674,love ease green natural tea anywhear time . tastes great love stash green tea,"{'neg': 0.0, 'neu': 0.314, 'pos': 0.686, 'compound': 0.9552}",0.0,0.314,0.686,0.9552,1
2696,good yummy.they smell like cloves cooking taste little sweet .,"{'neg': 0.0, 'neu': 0.425, 'pos': 0.575, 'compound': 0.7968}",0.0,0.425,0.575,0.7968,1
2697,good stuff - like lentils n't need soak . small feel good mouth .,"{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.8074}",0.0,0.491,0.509,0.8074,1
2704,"mixed whipped cream blueberries lemon curd delicious , easy , quick summertime dessert delight guests .","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.8885}",0.0,0.488,0.512,0.8885,1
2707,"really good . tender , little sweet . easy make whirley pop , excellent cheddar & spice popcorn seasoning !","{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9102}",0.0,0.444,0.556,0.9102,1
2708,"little concerned buy popcorn , never know going get . glad . popcorn nice tender , pops easy , great taste hull-less . moved microwave popcorns glad product . like fact popped corn small great !","{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.9709}",0.0,0.481,0.519,0.9709,1
2720,"small , white popcorn best ! delicious - 've tried lots .","{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.8478}",0.0,0.423,0.577,0.8478,1
2722,great popcorn ! ! good popping results wonderful flavor . ca n't help love re-order run . recommend one,"{'neg': 0.198, 'neu': 0.317, 'pos': 0.485, 'compound': 0.8465}",0.198,0.317,0.485,0.8465,1
2724,pops great microwave . much better many store brands . good product .,"{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.872}",0.0,0.414,0.586,0.872,1
2734,popcorn really great ! enjoy taste smallness actual popcorn . like popcorn big fluffy small really great eat . eat popcorn order every three months . highly recommend popcorn lovers world .,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9702}",0.0,0.494,0.506,0.9702,1
2753,"love brand , kernels pop nice size , texture flavor .","{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.7906}",0.0,0.462,0.538,0.7906,1
2755,"'m huge popcorn fan tried sorts , amish country brand popcorn best 've ever eaten . absolutely delicious !","{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.9199}",0.0,0.478,0.522,0.9199,1
2778,preferred clam chowder . like natural taste lots potatoes . complaint think soup creamier . amazon much better price subscribe save .,"{'neg': 0.081, 'neu': 0.444, 'pos': 0.474, 'compound': 0.8625}",0.081,0.444,0.474,0.8625,1
2803,good clam chowder.not good maine restaurant much better canned chowders,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.8271}",0.0,0.446,0.554,0.8271,1
2804,"bar harbor clam chowder excellent product . easy fix tremendous flavor , nice amount clams potatoes . enjoy product well !","{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.9324}",0.0,0.445,0.555,0.9324,1
2808,"dog likes iams savory sauce . helps tempt eat appetite , 's good .","{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.8074}",0.0,0.491,0.509,0.8074,1
2812,"new treat `` kids '' . pretty picky eaters , especially girl ! love 'em . glad found product . reasonably priced","{'neg': 0.0, 'neu': 0.487, 'pos': 0.513, 'compound': 0.9283}",0.0,0.487,0.513,0.9283,1
2813,"german breed , g.sheph . & , , picky ! loved . happy camper . wakes morning & ready go walks & comes home straight treat cabinet , wants chicken stix .... thank , finally something boy loves ....","{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.9647}",0.0,0.486,0.514,0.9647,1
2821,like slight pineapple flavor better plain coconut water . good well chilled . coconut water supposed healthy drink .,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.9022}",0.0,0.456,0.544,0.9022,1
2822,"love juice . scheduled shipment convenient economical . expensive beverage way save money , worth","{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.8519}",0.0,0.492,0.508,0.8519,1
2837,"tried quite varieties brand pineapple best . light refreshing . sure think miracle elixer anything purchase case look forward drinking regular basis . thank great value convenience , amazon .","{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.9638}",0.0,0.462,0.538,0.9638,1
2848,love buying drinking workout . lose fluids minerals/vitamins helps replenish . water good love post-workout . also good anytime could use sweet natural drink ( like n't want milk soda water want something tasty refreshing ) .,"{'neg': 0.103, 'neu': 0.4, 'pos': 0.497, 'compound': 0.9668}",0.103,0.4,0.497,0.9668,1
2855,"great , , workout . great natural electrolytes , high potassium , amazing drink ! favorite flavor , tangerine 2nd","{'neg': 0.0, 'neu': 0.31, 'pos': 0.69, 'compound': 0.9571}",0.0,0.31,0.69,0.9571,1
2867,old english sheepdog . absolutely loved treats . took longer thought would eat one could eat treat peace chewed . great .,"{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.9381}",0.0,0.491,0.509,0.9381,1
2875,good . lots flavor great coffee taste . especially good wake . enjoy coffee . give plus 10 .,"{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.9241}",0.0,0.428,0.572,0.9241,1
2880,"coffee nice bold flavor , strong , smooth bold enough know wakeful , full bodied cup coffee really enjoyable . like distinctive , medium bold cup coffee love .","{'neg': 0.0, 'neu': 0.384, 'pos': 0.616, 'compound': 0.9722}",0.0,0.384,0.616,0.9722,1
2881,one best choices far . like bold coffee like one definitely buy,"{'neg': 0.0, 'neu': 0.293, 'pos': 0.707, 'compound': 0.926}",0.0,0.293,0.707,0.926,1
2893,"really like . light airy , almost like chips instead cookies ! flavor yummy oreo chocolate know love !","{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9296}",0.0,0.444,0.556,0.9296,1
2900,"good cookies really . 're delicious , satisfying , really , really healthy . definitely great alternative `` real '' cookies .","{'neg': 0.0, 'neu': 0.322, 'pos': 0.678, 'compound': 0.9683}",0.0,0.322,0.678,0.9683,1
2907,favorite indulgence 100 calories sweet fix energy- best ! sad see amazon longer available ; - ( < br / > quick shipping arrived safely !,"{'neg': 0.097, 'neu': 0.345, 'pos': 0.558, 'compound': 0.9285}",0.097,0.345,0.558,0.9285,1
2915,like cracker - good little fill meals .,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.6597}",0.0,0.426,0.574,0.6597,1
2928,love oreos hate filling . prevent scape filling 're good - calorie wise .,"{'neg': 0.176, 'neu': 0.286, 'pos': 0.538, 'compound': 0.765}",0.176,0.286,0.538,0.765,1
2951,"sent gift , found later many items stale . loved thought , though , loved way looked .","{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.8934}",0.0,0.483,0.517,0.8934,1
2961,truly amazed great product . flavor everything expect sweetner pure ! ordering try flavors well !,"{'neg': 0.0, 'neu': 0.411, 'pos': 0.589, 'compound': 0.9167}",0.0,0.411,0.589,0.9167,1
2964,"found wild thymes many years ago continued use products - lemon salad refresher favorite salad dressing , light , cal , tasty . excellent green pasta salad especially good fresh heirloom tomatoes fresh avocado slices . yum ! customer service excellent helpful , site shares great recipes well . 'm fan .","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.9842}",0.0,0.488,0.512,0.9842,1
2984,"tea hard find - joy find amazon. < br / > < br / > large package -6 full size boxes arrive enjoyment ! < br / > < br / > sugar plum delicious , sweet , warm , feel good tea . reminding christmas . spice palate warm hibiscus , barley , rosehips . think like sweet aromatic taste . one tastes makes feel taken care - special treat little . like mom dad would make hot coco something like sweet rare special occations. < br / > < br / > adore tea rather drink anyother tea. < br / > happy found !","{'neg': 0.013, 'neu': 0.479, 'pos': 0.508, 'compound': 0.9942}",0.013,0.479,0.508,0.9942,1
2988,glad found tea ... 's absolute holiday favorite ! thanks fast shipping !,"{'neg': 0.0, 'neu': 0.365, 'pos': 0.635, 'compound': 0.9039}",0.0,0.365,0.635,0.9039,1
2994,cookies kind stail fast shipping good packing cookies n't broken,"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.834}",0.0,0.442,0.558,0.834,1
3002,well packed . broken understandable . cookies tasty notes interesting . friends really enjoyed ! thx !,"{'neg': 0.129, 'neu': 0.25, 'pos': 0.62, 'compound': 0.8946}",0.129,0.25,0.62,0.8946,1
3004,"bought gift sister , excited see arrived great condition . sister loved !","{'neg': 0.0, 'neu': 0.306, 'pos': 0.694, 'compound': 0.9273}",0.0,0.306,0.694,0.9273,1
3032,cookies amazing . taste good better original brands . wish local stores would catch carry cookie .,"{'neg': 0.0, 'neu': 0.381, 'pos': 0.619, 'compound': 0.9274}",0.0,0.381,0.619,0.9274,1
3042,"great , fresh coffee beans . gave christmas gift . loved . smell great flavour awsome .","{'neg': 0.0, 'neu': 0.288, 'pos': 0.712, 'compound': 0.9538}",0.0,0.288,0.712,0.9538,1
3050,daughter loves snacks ca n't get china working ordered . satisfied appreciative .,"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.8779}",0.0,0.442,0.558,0.8779,1
3060,amongst best karachi halwa eaten . rubbery super chewy like lot ones ... perfect .. individually wrapped pieces box .,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.936}",0.0,0.495,0.505,0.936,1
3074,healthy flax seed buy . healthy taste like ! love ... good . husband loved . 's matter taste . 're looking dunkan hines brownie .,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.9601}",0.0,0.39,0.61,0.9601,1
3087,love hot chocolate -- nice creamy flavor . price good love single packs . flavor available locally .,"{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.9337}",0.0,0.438,0.562,0.9337,1
3088,love chamomile tea . sweet mild . excellent bed time tea .,"{'neg': 0.0, 'neu': 0.355, 'pos': 0.645, 'compound': 0.8979}",0.0,0.355,0.645,0.8979,1
3090,"n't know herb tasty .. 's great combination . n't like licorice flavors , tea great reap great benefits licorice root , without tasting ! < br / > < br / > really help symptoms , drinking prevention worked great well . beat shipping price ( free super saver shipping ) amazon .","{'neg': 0.033, 'neu': 0.442, 'pos': 0.525, 'compound': 0.9851}",0.033,0.442,0.525,0.9851,1
3098,"taste great great texture. < br / > < br / > 2-year-old little interest eating fresh vegetables , loves . actually prefers goldfish crackers products dubious nutritional value ! , fact worth expense -- worth cost get eat vegetables .","{'neg': 0.054, 'neu': 0.45, 'pos': 0.496, 'compound': 0.9619}",0.054,0.45,0.496,0.9619,1
3099,love brand freeze dried fruit veggies . make easy healthy go snacks 2 year old !,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.8832}",0.0,0.444,0.556,0.8832,1
3105,dogs love product ends crumbly hard give dogs . really great product .,"{'neg': 0.078, 'neu': 0.445, 'pos': 0.478, 'compound': 0.8479}",0.078,0.445,0.478,0.8479,1
3119,"n't high expectations would like love coffee trouble nausea acid . starbucks fan full bodied surprisingly good . nice acid issues come coffee , bother make nauseous . still prefer taste starbucks houseblend 'm sure extra body worth acid . good alternative found liked better better got use . give try !","{'neg': 0.074, 'neu': 0.449, 'pos': 0.477, 'compound': 0.9771}",0.074,0.449,0.477,0.9771,1
3135,"great - soft , tasty . better expected . perfect loaf every time .","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.8934}",0.0,0.359,0.641,0.8934,1
3140,"fantastic bread mix . use bread machine , make bowl , hand made , problems . know people problems . terrific . amazon , please keep stock . please .","{'neg': 0.161, 'neu': 0.357, 'pos': 0.482, 'compound': 0.8689}",0.161,0.357,0.482,0.8689,1
3146,delicious bread quickly make loaves bread eat give away special gift .,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.8519}",0.0,0.462,0.538,0.8519,1
3174,bought juice really like mangoes . great refreshing smooth beverage everybody family enjoy . buy .,"{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.8849}",0.0,0.491,0.509,0.8849,1
3178,"stay together better round ones , crumble terribly . good alone , favorite artisana raw sesame butter . well packaged keeps getting broken . also , package opened fresh . thanks great product amazon !","{'neg': 0.186, 'neu': 0.341, 'pos': 0.473, 'compound': 0.9098}",0.186,0.341,0.473,0.9098,1
3189,able much crackers ! 're easy spread stack put toppings ! definitely enjoyed friends =d,"{'neg': 0.0, 'neu': 0.335, 'pos': 0.665, 'compound': 0.9421}",0.0,0.335,0.665,0.9421,1
3202,"using food 6 months find excellent ! fact two dogs ( coton de tulear 15lbs , standard poodle puppy 40lbs ) love food , thriving . coats excellent condition overall structure perfect . good tasting dog good good deal owner . around best food ever used . excellent ! ! !","{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.9873}",0.0,0.467,0.533,0.9873,1
3208,kids loved . great product great price . little one make hot cocoa without assistance .,"{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.9201}",0.0,0.452,0.548,0.9201,1
3210,"hot chocolate husband 's favorite . service also great , usually . popular winter coming .","{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.872}",0.0,0.476,0.524,0.872,1
3211,like rich dark smooth taste grove square cocoa . best found k-cups auto delivery least months . delicious !,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.9359}",0.0,0.456,0.544,0.9359,1
3215,best purchase could made daughter . priced beautifully daughter study without worrying price college books . thanks much ! !,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.9249}",0.0,0.472,0.528,0.9249,1
3218,"found sweet . hoping 's unsweetened version available . chocolatey , kinda like swiss miss .","{'neg': 0.077, 'neu': 0.461, 'pos': 0.462, 'compound': 0.7698}",0.077,0.461,0.462,0.7698,1
3228,"chocolatey smooth hot cocoa ever , yum ! best price taste keurig k-cup brewer . way better least 3 peicer brands -- 've tried different ones best super super fast delivery . thanks","{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.9729}",0.0,0.497,0.503,0.9729,1
3230,"arrived quick on-time , great value ! definitely pleased purchase , likely buy = )","{'neg': 0.0, 'neu': 0.326, 'pos': 0.674, 'compound': 0.908}",0.0,0.326,0.674,0.908,1
3257,hoping good idea . however tried even heard tasted bitter like artificial sweetner true . stuff .,"{'neg': 0.123, 'neu': 0.395, 'pos': 0.482, 'compound': 0.802}",0.123,0.395,0.482,0.802,1
3267,grandson loves . makes cup everytime stops . quick easy taste good .,"{'neg': 0.094, 'neu': 0.351, 'pos': 0.556, 'compound': 0.836}",0.094,0.351,0.556,0.836,1
3273,keep hand young heart . enjoy cup almost every night . good taste . buy .,"{'neg': 0.0, 'neu': 0.499, 'pos': 0.501, 'compound': 0.8417}",0.0,0.499,0.501,0.8417,1
3275,"delicious hot chocolate . best 8 oz cup , stretched 10. 8oz strong coffee delicious mocha","{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.9423}",0.0,0.377,0.623,0.9423,1
3280,easy use best flavor much sugar quality thought getting,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.7964}",0.0,0.496,0.504,0.7964,1
3283,"'ve buying milk hot chocolate months 's one best 've . even got in-laws hooked granddaughters absolutely love ! great price , great product !","{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.964}",0.0,0.485,0.515,0.964,1
3284,looking tired going store pick always sold ! love flavor sweet right ! ! thank ! buying ! !,"{'neg': 0.127, 'neu': 0.395, 'pos': 0.477, 'compound': 0.8388}",0.127,0.395,0.477,0.8388,1
3289,"good value money . good . hot cocoa excellent however , n't get coffee cuz instant !","{'neg': 0.0, 'neu': 0.425, 'pos': 0.575, 'compound': 0.9041}",0.0,0.425,0.575,0.9041,1
3303,wow deal . taste good expensive brands . definately buying .,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.7717}",0.0,0.472,0.528,0.7717,1
3327,rich chocolate flavor . tastes little watery . sure makes great cocoa .,"{'neg': 0.0, 'neu': 0.419, 'pos': 0.581, 'compound': 0.8665}",0.0,0.419,0.581,0.8665,1
3332,"three tastes rich chocolaty , chalky . surprised good , better k-cup cocoa 've tried .","{'neg': 0.0, 'neu': 0.415, 'pos': 0.585, 'compound': 0.8834}",0.0,0.415,0.585,0.8834,1
3340,"best hot chocolate available k-cups . best taste , taste . great size brewed . highly recommend company .","{'neg': 0.0, 'neu': 0.395, 'pos': 0.605, 'compound': 0.9459}",0.0,0.395,0.605,0.9459,1
3344,"quite pleased e flavor product . good , strong , yet overpowering flavor . rich chocolate flavor . pleasing . highly recomend product !","{'neg': 0.0, 'neu': 0.397, 'pos': 0.603, 'compound': 0.9492}",0.0,0.397,0.603,0.9492,1
3349,"bad , returned . children n't even like , difficult please comes sweet drinks food .","{'neg': 0.28, 'neu': 0.35, 'pos': 0.37, 'compound': 0.2023}",0.28,0.35,0.37,0.2023,1
3357,love brand . great price save subscribe . husband loves . top whipped cream happy man . wish could buy pepermint cocoa .,"{'neg': 0.0, 'neu': 0.32, 'pos': 0.68, 'compound': 0.9732}",0.0,0.32,0.68,0.9732,1
3364,"fantastic cocoa . flavors excellent personal favorite dark chocolate . received keurig christmas present loving cocoa end work day ... mixing , microwave positively pot stove ... warm , chocolatey goodness demand . order product","{'neg': 0.033, 'neu': 0.478, 'pos': 0.489, 'compound': 0.9682}",0.033,0.478,0.489,0.9682,1
3366,"tried number k cup hot chocolates grove square far best yet ! nice flavor , doesnt nasty artificial sweetener flavor like lot kcup hot chocolates . impressed !","{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9469}",0.0,0.494,0.506,0.9469,1
3369,"bought mostly wanted peppermint hot cocoa , fell love milk chocolate one . peppermint pretty good well ... good cocoa ! ! !","{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9449}",0.0,0.446,0.554,0.9449,1
3376,far best hot cocoa found yet keurig . love assortment peppermint favorite . would give try sure looking hot cocoa k-cups . selections hot cocoa tried okay tasting . amazing ! ! ! ! love ! order sure !,"{'neg': 0.0, 'neu': 0.437, 'pos': 0.563, 'compound': 0.98}",0.0,0.437,0.563,0.98,1
